"photo-13279251_326200869";"http://cs540103.vk.me/c540101/v540101826/13de5/OrrYs4KD1sc.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 40 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Белый+Черый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 40 - 46";"Белый+Черый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_328752215";"http://cs540103.vk.me/c7006/v7006826/c001/9w1Ohf2bbec.jpg";"Nike Air Max 90 Flowers Woman<br/>Цена: 1065 грн. <br/>Размеры: 36 - 40<br/>Материал: текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20009<br/>Черный";"Nike Air Max 90 Flowers Woman";1065;"NK20009";" 36 - 40";"Черный";"<h1>Nike Air Max 90 Flowers Woman</h1><br/><b>Материал:</b> текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_328752223";"http://cs540103.vk.me/c7006/v7006826/c024/RIk6G2ijUUE.jpg";"Nike Air Max 90 Flowers Woman<br/>Цена: 1065 грн. <br/>Размеры: 36 - 40<br/>Материал: текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20009<br/>Черный";"Nike Air Max 90 Flowers Woman";1065;"NK20009";" 36 - 40";"Черный";"<h1>Nike Air Max 90 Flowers Woman</h1><br/><b>Материал:</b> текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355660983";"http://cs540103.vk.me/c540101/v540101826/46ace/N5Rq2esb5XI.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 36 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Черный";"Nike Air Max 90 VT";1110;"NK20010";" 36 - 46";"Черный";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295992626";"http://cs410724.vk.me/v410724826/69bb/oRQFgU1xdkk.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 36 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Черный";"Nike Air Max 90 VT";1110;"NK20010";" 36 - 46";"Черный";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355660977";"http://cs540103.vk.me/c540101/v540101826/46ac6/gcJphcOx45I.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 36 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Черный";"Nike Air Max 90 VT";1110;"NK20010";" 36 - 46";"Черный";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355661006";"http://cs540103.vk.me/c540101/v540101826/46b06/RXe7ZWQHtyA.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 40 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Темно серый";"Nike Air Max 90 VT";1110;"NK20010";" 40 - 46";"Темно серый";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295992634";"http://cs410724.vk.me/v410724826/69cb/Mc3V-SWTJzI.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 40 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Темно серый";"Nike Air Max 90 VT";1110;"NK20010";" 40 - 46";"Темно серый";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355661010";"http://cs540103.vk.me/c540101/v540101826/46b16/89WqHk5KNks.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 40 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Темно серый";"Nike Air Max 90 VT";1110;"NK20010";" 40 - 46";"Темно серый";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355661012";"http://cs540103.vk.me/c540101/v540101826/46b1e/3daruEpeqyk.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 40 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Темно серый";"Nike Air Max 90 VT";1110;"NK20010";" 40 - 46";"Темно серый";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355661017";"http://cs540103.vk.me/c540101/v540101826/46b26/AQ8SZv2mLVE.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 36 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Темно синий";"Nike Air Max 90 VT";1110;"NK20010";" 36 - 46";"Темно синий";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_308534350";"http://cs413829.vk.me/v413829826/29fc/gxASAjZ84zE.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 36 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Темно синий";"Nike Air Max 90 VT";1110;"NK20010";" 36 - 46";"Темно синий";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_308534349";"http://cs413829.vk.me/v413829826/29f3/RoA4AUF5AvQ.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 36 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Темно синий";"Nike Air Max 90 VT";1110;"NK20010";" 36 - 46";"Темно синий";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_308534351";"http://cs413829.vk.me/v413829826/2a05/YZv0O3X6bnI.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 36 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Темно синий";"Nike Air Max 90 VT";1110;"NK20010";" 36 - 46";"Темно синий";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355660995";"http://cs540103.vk.me/c540101/v540101826/46ae6/XSYMNUcAKiM.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 40 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Синий";"Nike Air Max 90 VT";1110;"NK20010";" 40 - 46";"Синий";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295992632";"http://cs410724.vk.me/v410724826/69c3/IMcRafWtUd8.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 40 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Синий";"Nike Air Max 90 VT";1110;"NK20010";" 40 - 46";"Синий";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355660987";"http://cs540103.vk.me/c540101/v540101826/46ad6/EHQ6b5Qo89w.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 40 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Синий";"Nike Air Max 90 VT";1110;"NK20010";" 40 - 46";"Синий";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355661001";"http://cs540103.vk.me/c540101/v540101826/46af6/xGyclcyX6Vw.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 36 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Коричневый";"Nike Air Max 90 VT";1110;"NK20010";" 36 - 46";"Коричневый";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295992645";"http://cs410724.vk.me/v410724826/69db/eMwr5K_DPhA.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 36 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Коричневый";"Nike Air Max 90 VT";1110;"NK20010";" 36 - 46";"Коричневый";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355660993";"http://cs540103.vk.me/c540101/v540101826/46ade/vBCegeH5U5Q.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 36 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Коричневый";"Nike Air Max 90 VT";1110;"NK20010";" 36 - 46";"Коричневый";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295992615";"http://cs410724.vk.me/v410724826/69a3/6Ad31vr_qAU.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 36 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Рыжий";"Nike Air Max 90 VT";1110;"NK20010";" 36 - 46";"Рыжий";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355661020";"http://cs540103.vk.me/c540101/v540101826/46b2d/6ZSRJ-Q60Ms.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 36 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Рыжий";"Nike Air Max 90 VT";1110;"NK20010";" 36 - 46";"Рыжий";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355660999";"http://cs540103.vk.me/c540101/v540101826/46aee/gmCunwyzpN4.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 36 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Красный";"Nike Air Max 90 VT";1110;"NK20010";" 36 - 46";"Красный";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295992624";"http://cs410724.vk.me/v410724826/69b3/6pmfQVdbcV0.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 36 - 46<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Красный";"Nike Air Max 90 VT";1110;"NK20010";" 36 - 46";"Красный";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355661004";"http://cs540103.vk.me/c540101/v540101826/46afe/YlJd6ZyX-Zc.jpg";"Nike Air Max 90 VT<br/>Цена: 1110 грн. <br/>Размеры: 36 - 45<br/>Материал: замша, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20010<br/>Красный";"Nike Air Max 90 VT";1110;"NK20010";" 36 - 45";"Красный";"<h1>Nike Air Max 90 VT</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301228836";"http://cs306603.vk.me/v306603826/9c4b/pGk2UF6fq18.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 36 - 45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Черный";"Nike Air Max 87";990;"NK20011";" 36 - 45";"Черный";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_304073257";"http://cs410226.vk.me/v410226826/f3a2/JIdx6ZEj5ok.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 36 - 45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Черный+Серый";"Nike Air Max 87";990;"NK20011";" 36 - 45";"Черный+Серый";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295996660";"http://cs410724.vk.me/v410724826/6a23/ftRamKh3FuM.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 40 - 45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Черный+Зеленый";"Nike Air Max 87";990;"NK20011";" 40 - 45";"Черный+Зеленый";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295996661";"http://cs410724.vk.me/v410724826/6a2b/NvXTRv-2-lI.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 40 - 45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Черный+Желтый";"Nike Air Max 87";990;"NK20011";" 40 - 45";"Черный+Желтый";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295996673";"http://cs410724.vk.me/v410724826/6a5a/uNeyDYWEvXk.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 40-45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Белый";"Nike Air Max 87";990;"NK20011";" 40-45";"Белый";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_300082963";"http://cs319131.vk.me/v319131826/7e52/6qBagGexpFg.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 40-45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Белый+Черный";"Nike Air Max 87";990;"NK20011";" 40-45";"Белый+Черный";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_304073266";"http://cs410226.vk.me/v410226826/f3ca/e8_LlhPIVVE.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 40-45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Белый+Черный";"Nike Air Max 87";990;"NK20011";" 40-45";"Белый+Черный";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_304073254";"http://cs410226.vk.me/v410226826/f38c/VUF7NX6E8Vg.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 36 - 45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Темно синий";"Nike Air Max 87";990;"NK20011";" 36 - 45";"Темно синий";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301228827";"http://cs306603.vk.me/v306603826/9c23/a6xLLvsNTdg.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 40-45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Синий";"Nike Air Max 87";990;"NK20011";" 40-45";"Синий";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_304073245";"http://cs410226.vk.me/v410226826/f354/e1bfQqmThHw.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 40-45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Синий+Красный";"Nike Air Max 87";990;"NK20011";" 40-45";"Синий+Красный";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_304073249";"http://cs410226.vk.me/v410226826/f36c/bhFCaDFxLIY.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 40-45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Синий+Красный";"Nike Air Max 87";990;"NK20011";" 40-45";"Синий+Красный";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_304073247";"http://cs410226.vk.me/v410226826/f35c/XmKKuqa2NZ8.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 40-45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Синий+Красный";"Nike Air Max 87";990;"NK20011";" 40-45";"Синий+Красный";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295996656";"http://cs410724.vk.me/v410724826/6a1b/zwooTRPYEGQ.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 40-45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Красный+Фиолетовый";"Nike Air Max 87";990;"NK20011";" 40-45";"Красный+Фиолетовый";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_304073512";"http://cs410226.vk.me/v410226826/f3ea/CRvWygxLpLU.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 40-45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Синий+Серый";"Nike Air Max 87";990;"NK20011";" 40-45";"Синий+Серый";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_304073265";"http://cs410226.vk.me/v410226826/f3c2/ZpiFoWQghw4.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 40-45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Белый+Синий";"Nike Air Max 87";990;"NK20011";" 40-45";"Белый+Синий";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295996668";"http://cs410724.vk.me/v410724826/6a43/39Q3XrsOjLU.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 40-45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Серый+Синий";"Nike Air Max 87";990;"NK20011";" 40-45";"Серый+Синий";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295996670";"http://cs410724.vk.me/v410724826/6a4b/tmFkjDWZuTk.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 40-45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Серый+Синий";"Nike Air Max 87";990;"NK20011";" 40-45";"Серый+Синий";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_304073262";"http://cs410226.vk.me/v410226826/f3ba/osTyI7MOKK8.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 36-45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Бордовый+Черный";"Nike Air Max 87";990;"NK20011";" 36-45";"Бордовый+Черный";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301228824";"http://cs306603.vk.me/v306603826/9c1b/QiM1_S2uGvo.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 36-45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Бордовый";"Nike Air Max 87";990;"NK20011";" 36-45";"Бордовый";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301228823";"http://cs306603.vk.me/v306603826/9c13/-CDK-8mZArQ.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 36-45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Бордовый";"Nike Air Max 87";990;"NK20011";" 36-45";"Бордовый";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295996648";"http://cs410724.vk.me/v410724826/69f3/sYKZbtXvP4g.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 36 - 45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Серый";"Nike Air Max 87";990;"NK20011";" 36 - 45";"Серый";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_304073261";"http://cs410226.vk.me/v410226826/f3b2/ItNKxU-9s78.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 36-45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Белый+Темно синий";"Nike Air Max 87";990;"NK20011";" 36-45";"Белый+Темно синий";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_304073253";"http://cs410226.vk.me/v410226826/f384/AT310c3oqXo.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 36-40<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Белый+Розовый";"Nike Air Max 87";990;"NK20011";" 36-40";"Белый+Розовый";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295996649";"http://cs410724.vk.me/v410724826/69fb/_NVfxl2wCFU.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 40 - 45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Белый+Красный";"Nike Air Max 87";990;"NK20011";" 40 - 45";"Белый+Красный";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301228830";"http://cs306603.vk.me/v306603826/9c33/EgDpEvrStQ4.jpg";"Nike Air Max 87<br/>Цена: 990 грн. <br/>Размеры: 40-45<br/>Материал: холст, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20011<br/>Серый+Красный";"Nike Air Max 87";990;"NK20011";" 40-45";"Серый+Красный";"<h1>Nike Air Max 87</h1><br/><b>Материал:</b> холст, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
