"photo-13279251_301464311";"http://cs416522.vk.me/v416522826/5949/416yZ_AGYT8.jpg";"Мокасины женские<br/>Цена: 910 грн.<br/>Размеры: 35-39<br/>Материал: натур. замша<br/>Сезон: весна, лето, осень<br/>KR10004<br/>Черный";"Мокасины женские";910;"KR10004";" 35-39";"Черный";"<h1>Мокасины женские</h1><br/><b>Материал:</b> натур. замша<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329080158";"http://cs540103.vk.me/c7006/v7006826/cab0/TP5iUd0Pjew.jpg";"Ботинки с цветочным принтом<br/>Цена: 840 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>KR10025<br/>Голубой";"Ботинки с цветочным принтом";840;"KR10025";" 35-39";"Голубой";"<h1>Ботинки с цветочным принтом</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329080163";"http://cs540103.vk.me/c7006/v7006826/cab8/lMfSy1iMC48.jpg";"Ботинки с цветочным принтом<br/>Цена: 840 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>KR10025<br/>Голубой";"Ботинки с цветочным принтом";840;"KR10025";" 35-39";"Голубой";"<h1>Ботинки с цветочным принтом</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329080165";"http://cs540103.vk.me/c7006/v7006826/cac1/RB9IU24FQBs.jpg";"Ботинки с цветочным принтом<br/>Цена: 840 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>KR10025<br/>Голубой";"Ботинки с цветочным принтом";840;"KR10025";" 35-39";"Голубой";"<h1>Ботинки с цветочным принтом</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329080168";"http://cs540103.vk.me/c7006/v7006826/cac9/4BMTRhb0zXk.jpg";"Ботинки с цветочным принтом<br/>Цена: 840 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>KR10025<br/>Голубой";"Ботинки с цветочным принтом";840;"KR10025";" 35-39";"Голубой";"<h1>Ботинки с цветочным принтом</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329080527";"http://cs540103.vk.me/c7006/v7006826/cb1b/nLH1DJ_Z1SM.jpg";"Криперы космос<br/>Цена: 750 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10026";"Криперы космос";750;"KR10026";" 35-39";;"<h1>Криперы космос</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";"Missing colour;"
"photo-13279251_329080528";"http://cs540103.vk.me/c7006/v7006826/cb22/IL2_f7HC5CI.jpg";"Криперы космос<br/>Цена: 750 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10026<br/>Красный";"Криперы космос";750;"KR10026";" 35-39";"Красный";"<h1>Криперы космос</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329080532";"http://cs540103.vk.me/c7006/v7006826/cb29/0-WLoZRbwoM.jpg";"Криперы космос<br/>Цена: 750 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10026<br/>Красный";"Криперы космос";750;"KR10026";" 35-39";"Красный";"<h1>Криперы космос</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329080534";"http://cs540103.vk.me/c7006/v7006826/cb30/Lnfkw04_i1Y.jpg";"Криперы космос<br/>Цена: 750 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10026<br/>Синий";"Криперы космос";750;"KR10026";" 35-39";"Синий";"<h1>Криперы космос</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329080535";"http://cs540103.vk.me/c7006/v7006826/cb37/M6dE7c7yetQ.jpg";"Криперы космос<br/>Цена: 750 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10026<br/>Синий";"Криперы космос";750;"KR10026";" 35-39";"Синий";"<h1>Криперы космос</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329080536";"http://cs540103.vk.me/c7006/v7006826/cb3e/9ERGX2hGzIM.jpg";"Криперы космос<br/>Цена: 750 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10026<br/>Синий";"Криперы космос";750;"KR10026";" 35-39";"Синий";"<h1>Криперы космос</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329080537";"http://cs540103.vk.me/c7006/v7006826/cb45/1X4O9Fy1dHs.jpg";"Криперы космос<br/>Цена: 750 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10026<br/>Синий";"Криперы космос";750;"KR10026";" 35-39";"Синий";"<h1>Криперы космос</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329681431";"http://cs540103.vk.me/c7006/v7006826/e168/zhflVkgsP9Q.jpg";"Ботинки женские на платформе<br/>Цена: 890 грн.<br/>Размеры: 35-39<br/>Материал: PU<br/>Подошва: резина<br/>Каблук: 9 см.<br/>Платформа: 4 см. <br/>Сезон: весна, лето, осень<br/>KR10029<br/>Черный+Белый";"Ботинки женские на платформе";890;"KR10029";" 35-39";"Черный+Белый";"<h1>Ботинки женские на платформе</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> резина<br/><b>Каблук:</b> 9 см.<br/><b>Платформа:</b> 4 см. <br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329681432";"http://cs540103.vk.me/c7006/v7006826/e170/oDcO-zut7gI.jpg";"Ботинки женские на платформе<br/>Цена: 890 грн.<br/>Размеры: 35-39<br/>Материал: PU<br/>Подошва: резина<br/>Каблук: 9 см.<br/>Платформа: 4 см. <br/>Сезон: весна, лето, осень<br/>KR10029<br/>Черный+Белый";"Ботинки женские на платформе";890;"KR10029";" 35-39";"Черный+Белый";"<h1>Ботинки женские на платформе</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> резина<br/><b>Каблук:</b> 9 см.<br/><b>Платформа:</b> 4 см. <br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329681435";"http://cs540103.vk.me/c7006/v7006826/e178/gdg1EKjs48o.jpg";"Ботинки женские на платформе<br/>Цена: 890 грн.<br/>Размеры: 35-39<br/>Материал: PU<br/>Подошва: резина<br/>Каблук: 9 см.<br/>Платформа: 4 см. <br/>Сезон: весна, лето, осень<br/>KR10029<br/>Черный+Белый";"Ботинки женские на платформе";890;"KR10029";" 35-39";"Черный+Белый";"<h1>Ботинки женские на платформе</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> резина<br/><b>Каблук:</b> 9 см.<br/><b>Платформа:</b> 4 см. <br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329681436";"http://cs540103.vk.me/c7006/v7006826/e180/wIoH0-tL8Vo.jpg";"Ботинки женские на платформе<br/>Цена: 890 грн.<br/>Размеры: 35-39<br/>Материал: PU<br/>Подошва: резина<br/>Каблук: 9 см.<br/>Платформа: 4 см. <br/>Сезон: весна, лето, осень<br/>KR10029<br/>Черный+Белый";"Ботинки женские на платформе";890;"KR10029";" 35-39";"Черный+Белый";"<h1>Ботинки женские на платформе</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> резина<br/><b>Каблук:</b> 9 см.<br/><b>Платформа:</b> 4 см. <br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329681437";"http://cs540103.vk.me/c7006/v7006826/e188/7XA0j-Jl4cs.jpg";"Ботинки женские на платформе<br/>Цена: 890 грн.<br/>Размеры: 35-39<br/>Материал: PU<br/>Подошва: резина<br/>Каблук: 9 см.<br/>Платформа: 4 см. <br/>Сезон: весна, лето, осень<br/>KR10029<br/>Черный+Белый";"Ботинки женские на платформе";890;"KR10029";" 35-39";"Черный+Белый";"<h1>Ботинки женские на платформе</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> резина<br/><b>Каблук:</b> 9 см.<br/><b>Платформа:</b> 4 см. <br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329681440";"http://cs540103.vk.me/c7006/v7006826/e1a0/n69z5AAuc0s.jpg";"Ботинки женские на платформе<br/>Цена: 890 грн.<br/>Размеры: 35-39<br/>Материал: PU<br/>Подошва: резина<br/>Каблук: 9 см.<br/>Платформа: 4 см. <br/>Сезон: весна, лето, осень<br/>KR10029<br/>Черный+Белый";"Ботинки женские на платформе";890;"KR10029";" 35-39";"Черный+Белый";"<h1>Ботинки женские на платформе</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> резина<br/><b>Каблук:</b> 9 см.<br/><b>Платформа:</b> 4 см. <br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329681441";"http://cs540103.vk.me/c7006/v7006826/e1a8/nL5fYA8FbBo.jpg";"Ботинки женские на платформе<br/>Цена: 890 грн.<br/>Размеры: 35-39<br/>Материал: PU<br/>Подошва: резина<br/>Каблук: 9 см.<br/>Платформа: 4 см. <br/>Сезон: весна, лето, осень<br/>KR10029<br/>Черный+Белый";"Ботинки женские на платформе";890;"KR10029";" 35-39";"Черный+Белый";"<h1>Ботинки женские на платформе</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> резина<br/><b>Каблук:</b> 9 см.<br/><b>Платформа:</b> 4 см. <br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329681438";"http://cs540103.vk.me/c7006/v7006826/e190/MFuWcn0vj28.jpg";"Ботинки женские на платформе<br/>Цена: 890 грн.<br/>Размеры: 35-39<br/>Материал: PU<br/>Подошва: резина<br/>Каблук: 9 см.<br/>Платформа: 4 см. <br/>Сезон: весна, лето, осень<br/>KR10029<br/>Черный+Бежевый";"Ботинки женские на платформе";890;"KR10029";" 35-39";"Черный+Бежевый";"<h1>Ботинки женские на платформе</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> резина<br/><b>Каблук:</b> 9 см.<br/><b>Платформа:</b> 4 см. <br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_329681439";"http://cs540103.vk.me/c7006/v7006826/e198/rywEeQO4s1g.jpg";"Ботинки женские на платформе<br/>Цена: 890 грн.<br/>Размеры: 35-39<br/>Материал: PU<br/>Подошва: резина<br/>Каблук: 9 см.<br/>Платформа: 4 см. <br/>Сезон: весна, лето, осень<br/>KR10029<br/>Черный+Бежевый";"Ботинки женские на платформе";890;"KR10029";" 35-39";"Черный+Бежевый";"<h1>Ботинки женские на платформе</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> резина<br/><b>Каблук:</b> 9 см.<br/><b>Платформа:</b> 4 см. <br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_332390058";"http://cs540103.vk.me/c7006/v7006826/11bc4/oaRkhud9ImE.jpg";"Криперы в стиле Military<br/>Цена: 620 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: пена<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10030";"Криперы в стиле Military";620;"KR10030";" 35-39";;"<h1>Криперы в стиле Military</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";"Missing colour;"
"photo-13279251_332390036";"http://cs540103.vk.me/c7006/v7006826/11b84/lG_po_zOfls.jpg";"Криперы в стиле Military<br/>Цена: 620 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: пена<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10030<br/>Зеленый";"Криперы в стиле Military";620;"KR10030";" 35-39";"Зеленый";"<h1>Криперы в стиле Military</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_332390045";"http://cs540103.vk.me/c7006/v7006826/11ba0/XLkPD0ibJOc.jpg";"Криперы в стиле Military<br/>Цена: 620 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: пена<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10030<br/>Зеленый";"Криперы в стиле Military";620;"KR10030";" 35-39";"Зеленый";"<h1>Криперы в стиле Military</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_332390044";"http://cs540103.vk.me/c7006/v7006826/11b99/qL8J5gosfNI.jpg";"Криперы в стиле Military<br/>Цена: 620 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: пена<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10030<br/>Бежевый";"Криперы в стиле Military";620;"KR10030";" 35-39";"Бежевый";"<h1>Криперы в стиле Military</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_332390031";"http://cs540103.vk.me/c7006/v7006826/11b7c/nAQVeD-l1_M.jpg";"Криперы в стиле Military<br/>Цена: 620 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: пена<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10030<br/>Розовый";"Криперы в стиле Military";620;"KR10030";" 35-39";"Розовый";"<h1>Криперы в стиле Military</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_332390038";"http://cs540103.vk.me/c7006/v7006826/11b8b/03cldv7t9Mg.jpg";"Криперы в стиле Military<br/>Цена: 620 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: пена<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10030<br/>Розовый";"Криперы в стиле Military";620;"KR10030";" 35-39";"Розовый";"<h1>Криперы в стиле Military</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_332390041";"http://cs540103.vk.me/c7006/v7006826/11b92/LEl1MZYXpmM.jpg";"Криперы в стиле Military<br/>Цена: 620 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: пена<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10030<br/>Черный";"Криперы в стиле Military";620;"KR10030";" 35-39";"Черный";"<h1>Криперы в стиле Military</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_332390048";"http://cs540103.vk.me/c7006/v7006826/11ba7/ECmLmawWU4A.jpg";"Криперы в стиле Military<br/>Цена: 620 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: пена<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10030<br/>Бирюзовый";"Криперы в стиле Military";620;"KR10030";" 35-39";"Бирюзовый";"<h1>Криперы в стиле Military</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_332390050";"http://cs540103.vk.me/c7006/v7006826/11bae/U7MlM9Mag4I.jpg";"Криперы в стиле Military<br/>Цена: 620 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: пена<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10030<br/>Синий";"Криперы в стиле Military";620;"KR10030";" 35-39";"Синий";"<h1>Криперы в стиле Military</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_332390055";"http://cs540103.vk.me/c7006/v7006826/11bb5/IdiwexJ3CLY.jpg";"Криперы в стиле Military<br/>Цена: 620 грн.<br/>Размеры: 35-39<br/>Материал: холст<br/>Подошва: пена<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10030<br/>Черный+Белый";"Криперы в стиле Military";620;"KR10030";" 35-39";"Черный+Белый";"<h1>Криперы в стиле Military</h1><br/><b>Материал:</b> холст<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_332390084";"http://cs540103.vk.me/c7006/v7006826/11beb/-m2Hdmc075Q.jpg";"Криперы<br/>Цена: 670грн<br/>Размеры: 35-39<br/>Материал: PU<br/>Подошва: пена+резина<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10036<br/>Черный";"Криперы";670;"KR10036";" 35-39";"Черный";"<h1>Криперы</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> пена+резина<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_332390062";"http://cs540103.vk.me/c7006/v7006826/11bcb/aDlq1lNMhik.jpg";"Криперы<br/>Цена: 670грн<br/>Размеры: 35-39<br/>Материал: PU<br/>Подошва: пена+резина<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10036<br/>Черный+Белый";"Криперы";670;"KR10036";" 35-39";"Черный+Белый";"<h1>Криперы</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> пена+резина<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_332390073";"http://cs540103.vk.me/c7006/v7006826/11bda/JTEoQeyhlG8.jpg";"Криперы<br/>Цена: 670грн<br/>Размеры: 35-39<br/>Материал: PU<br/>Подошва: пена+резина<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10036<br/>Бордовый";"Криперы";670;"KR10036";" 35-39";"Бордовый";"<h1>Криперы</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> пена+резина<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_332390070";"http://cs540103.vk.me/c7006/v7006826/11bd2/wIj55dFvNK8.jpg";"Криперы<br/>Цена: 670грн<br/>Размеры: 35-39<br/>Материал: PU<br/>Подошва: пена+резина<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10036<br/>Полностью черный";"Криперы";670;"KR10036";" 35-39";"Полностью черный";"<h1>Криперы</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> пена+резина<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_332390081";"http://cs540103.vk.me/c7006/v7006826/11be2/vLum-ePlkJ4.jpg";"Криперы<br/>Цена: 670грн<br/>Размеры: 35-39<br/>Материал: PU<br/>Подошва: пена+резина<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10036<br/>Белый+Черный";"Криперы";670;"KR10036";" 35-39";"Белый+Черный";"<h1>Криперы</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> пена+резина<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359934136";"http://cs540103.vk.me/c540101/v540101826/4b958/PYPCmEFGmk8.jpg";"Женские крутые туфли на низком ходу<br/>Цена: 945 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4,5 см.<br/>Сезон: весна, лето, осень<br/>KR10037";"Женские крутые туфли на низком ходу";945;"KR10037";" 35-39";;"<h1>Женские крутые туфли на низком ходу</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";"Missing colour;"
"photo-13279251_359934160";"http://cs540103.vk.me/c540101/v540101826/4b978/JuC0SbrWTaQ.jpg";"Женские крутые туфли на низком ходу<br/>Цена: 945 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4,5 см.<br/>Сезон: весна, лето, осень<br/>KR10037<br/>Черный";"Женские крутые туфли на низком ходу";945;"KR10037";" 35-39";"Черный";"<h1>Женские крутые туфли на низком ходу</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359934163";"http://cs540103.vk.me/c540101/v540101826/4b97f/7B1Dt9Hf4bg.jpg";"Женские крутые туфли на низком ходу<br/>Цена: 945 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4,5 см.<br/>Сезон: весна, лето, осень<br/>KR10037<br/>Черный";"Женские крутые туфли на низком ходу";945;"KR10037";" 35-39";"Черный";"<h1>Женские крутые туфли на низком ходу</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359934169";"http://cs540103.vk.me/c540101/v540101826/4b986/OvI99y889KM.jpg";"Женские крутые туфли на низком ходу<br/>Цена: 945 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4,5 см.<br/>Сезон: весна, лето, осень<br/>KR10037<br/>Черный";"Женские крутые туфли на низком ходу";945;"KR10037";" 35-39";"Черный";"<h1>Женские крутые туфли на низком ходу</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359934176";"http://cs540103.vk.me/c540101/v540101826/4b98d/CHBkcCJ_qas.jpg";"Женские крутые туфли на низком ходу<br/>Цена: 945 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4,5 см.<br/>Сезон: весна, лето, осень<br/>KR10037<br/>Черный";"Женские крутые туфли на низком ходу";945;"KR10037";" 35-39";"Черный";"<h1>Женские крутые туфли на низком ходу</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359934181";"http://cs540103.vk.me/c540101/v540101826/4b995/jqfC51OBSvQ.jpg";"Женские крутые туфли на низком ходу<br/>Цена: 945 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4,5 см.<br/>Сезон: весна, лето, осень<br/>KR10037<br/>Черный";"Женские крутые туфли на низком ходу";945;"KR10037";" 35-39";"Черный";"<h1>Женские крутые туфли на низком ходу</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359934186";"http://cs540103.vk.me/c540101/v540101826/4b99d/n7rHWAd5jsk.jpg";"Женские крутые туфли на низком ходу<br/>Цена: 945 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4,5 см.<br/>Сезон: весна, лето, осень<br/>KR10037<br/>Золото";"Женские крутые туфли на низком ходу";945;"KR10037";" 35-39";"Золото";"<h1>Женские крутые туфли на низком ходу</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359934193";"http://cs540103.vk.me/c540101/v540101826/4b9a5/BWCuh-zOkpU.jpg";"Женские крутые туфли на низком ходу<br/>Цена: 945 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4,5 см.<br/>Сезон: весна, лето, осень<br/>KR10037<br/>Золото";"Женские крутые туфли на низком ходу";945;"KR10037";" 35-39";"Золото";"<h1>Женские крутые туфли на низком ходу</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359934195";"http://cs540103.vk.me/c540101/v540101826/4b9ad/uLOpfqRrV_k.jpg";"Женские крутые туфли на низком ходу<br/>Цена: 945 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4,5 см.<br/>Сезон: весна, лето, осень<br/>KR10037<br/>Золото";"Женские крутые туфли на низком ходу";945;"KR10037";" 35-39";"Золото";"<h1>Женские крутые туфли на низком ходу</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359934205";"http://cs540103.vk.me/c540101/v540101826/4b9b4/eSICqLZTu5g.jpg";"Женские крутые туфли на низком ходу<br/>Цена: 945 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4,5 см.<br/>Сезон: весна, лето, осень<br/>KR10037<br/>Золото";"Женские крутые туфли на низком ходу";945;"KR10037";" 35-39";"Золото";"<h1>Женские крутые туфли на низком ходу</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359934209";"http://cs540103.vk.me/c540101/v540101826/4b9bc/K6GH894qfZM.jpg";"Женские крутые туфли на низком ходу<br/>Цена: 945 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4,5 см.<br/>Сезон: весна, лето, осень<br/>KR10037<br/>Золото";"Женские крутые туфли на низком ходу";945;"KR10037";" 35-39";"Золото";"<h1>Женские крутые туфли на низком ходу</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
